variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,baseline_wrong_candidate_right,baseline_right_candidate_wrong,discordant_cases,exact_mcnemar_p
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,42,9,10,19,1.0
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,43,13,16,29,0.711071103811264
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,44,8,10,18,0.8145294189453125
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,42,16,18,34,0.8641662404406816
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,43,12,20,32,0.21532714972272515
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,44,7,20,27,0.0191572904586792
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,42,19,15,34,0.6075913612730801
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,43,12,12,24,1.0
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,44,11,13,24,0.8388197422027588
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,42,21,18,39,0.7492586247608418
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,43,12,20,32,0.21532714972272515
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,44,8,20,28,0.03569813817739487
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,42,22,16,38,0.417692190836533
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,43,15,11,26,0.557197093963623
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,44,14,11,25,0.6900379657745361
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,42,21,19,40,0.8746293123804207
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,43,15,17,32,0.860050065908581
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,44,14,23,37,0.18774155899882317
cov_oas__trial_off__f2_3__fusion_lda,combination_ablation,oas,0,3,lda,42,6,4,10,0.75390625
cov_oas__trial_off__f2_3__fusion_lda,combination_ablation,oas,0,3,lda,43,6,7,13,1.0
cov_oas__trial_off__f2_3__fusion_lda,combination_ablation,oas,0,3,lda,44,2,5,7,0.453125
cov_oas__trial_off__f2_3__fusion_soft_vote,combination_ablation,oas,0,3,soft_vote,42,9,8,17,1.0
cov_oas__trial_off__f2_3__fusion_soft_vote,combination_ablation,oas,0,3,soft_vote,43,11,12,23,1.0
cov_oas__trial_off__f2_3__fusion_soft_vote,combination_ablation,oas,0,3,soft_vote,44,7,14,21,0.18924713134765625
cov_oas__trial_off__f2_2__fusion_lda,combination_ablation,oas,0,2,lda,42,16,10,26,0.32693958282470703
cov_oas__trial_off__f2_2__fusion_lda,combination_ablation,oas,0,2,lda,43,12,12,24,1.0
cov_oas__trial_off__f2_2__fusion_lda,combination_ablation,oas,0,2,lda,44,5,7,12,0.7744140625
cov_oas__trial_off__f2_2__fusion_soft_vote,combination_ablation,oas,0,2,soft_vote,42,12,16,28,0.5715881884098053
cov_oas__trial_off__f2_2__fusion_soft_vote,combination_ablation,oas,0,2,soft_vote,43,13,14,27,1.0
cov_oas__trial_off__f2_2__fusion_soft_vote,combination_ablation,oas,0,2,soft_vote,44,6,16,22,0.052478790283203125
cov_oas__trial_off__f2_1__fusion_lda,combination_ablation,oas,0,1,lda,42,23,13,36,0.13249816396273675
cov_oas__trial_off__f2_1__fusion_lda,combination_ablation,oas,0,1,lda,43,17,10,27,0.24778856337070465
cov_oas__trial_off__f2_1__fusion_lda,combination_ablation,oas,0,1,lda,44,10,11,21,1.0
cov_oas__trial_off__f2_1__fusion_soft_vote,combination_ablation,oas,0,1,soft_vote,42,16,15,31,1.0
cov_oas__trial_off__f2_1__fusion_soft_vote,combination_ablation,oas,0,1,soft_vote,43,16,15,31,1.0
cov_oas__trial_off__f2_1__fusion_soft_vote,combination_ablation,oas,0,1,soft_vote,44,10,21,31,0.07075554598122835
cov_oas__trial_on__f2_3__fusion_lda,combination_ablation,oas,1,3,lda,42,10,10,20,1.0
cov_oas__trial_on__f2_3__fusion_lda,combination_ablation,oas,1,3,lda,43,13,15,28,0.8505540192127228
cov_oas__trial_on__f2_3__fusion_lda,combination_ablation,oas,1,3,lda,44,8,8,16,1.0
cov_oas__trial_on__f2_3__fusion_soft_vote,combination_ablation,oas,1,3,soft_vote,42,16,15,31,1.0
cov_oas__trial_on__f2_3__fusion_soft_vote,combination_ablation,oas,1,3,soft_vote,43,12,18,30,0.36159460805356514
cov_oas__trial_on__f2_3__fusion_soft_vote,combination_ablation,oas,1,3,soft_vote,44,5,22,27,0.0015137195587158203
cov_oas__trial_on__f2_2__fusion_lda,combination_ablation,oas,1,2,lda,42,21,13,34,0.22948101302608848
cov_oas__trial_on__f2_2__fusion_lda,combination_ablation,oas,1,2,lda,43,13,11,24,0.8388197422027588
cov_oas__trial_on__f2_2__fusion_lda,combination_ablation,oas,1,2,lda,44,8,13,21,0.38331031799316406
cov_oas__trial_on__f2_2__fusion_soft_vote,combination_ablation,oas,1,2,soft_vote,42,21,17,38,0.6271025701571489
cov_oas__trial_on__f2_2__fusion_soft_vote,combination_ablation,oas,1,2,soft_vote,43,12,19,31,0.28104151505976915
cov_oas__trial_on__f2_2__fusion_soft_vote,combination_ablation,oas,1,2,soft_vote,44,6,22,28,0.0037191659212112427
cov_oas__trial_on__f2_1__fusion_lda,combination_ablation,oas,1,1,lda,42,23,17,40,0.42959050784338615
cov_oas__trial_on__f2_1__fusion_lda,combination_ablation,oas,1,1,lda,43,16,11,27,0.44206833839416504
cov_oas__trial_on__f2_1__fusion_lda,combination_ablation,oas,1,1,lda,44,14,11,25,0.6900379657745361
cov_oas__trial_on__f2_1__fusion_soft_vote,combination_ablation,oas,1,1,soft_vote,42,24,17,41,0.34888887944907765
cov_oas__trial_on__f2_1__fusion_soft_vote,combination_ablation,oas,1,1,soft_vote,43,15,14,29,1.0
cov_oas__trial_on__f2_1__fusion_soft_vote,combination_ablation,oas,1,1,soft_vote,44,12,23,35,0.08953107893466952
